ID,STT,DANGMON,MAU,CHUTHICH,PBSOTIET_TONG,PBSOTIET_LT,PBSOTIET_BT,PBSOTIET_TN,PBSOTIET_BTL,PBSOTIET_TQ,PBSOTIET_DA,PBSOTIET_TTNT,PBSOTIET_LVTN,PBSOTIET_TUHOC,PBSOTIET_KHAC,PBSOTC_TONG,PBSOTC_LT,PBSOTC_BT,PBSOTC_TN,PBSOTC_BTL,PBSOTC_TQ,PBSOTC_DA,PBSOTC_TTNT,PBSOTC_LVTN,PBSOTC_TUHOC,PBSOTC_KHAC,MAU_OLD
1,1,LT,1_0.8_0_0_0.2,0.8LT (2 tiết/tuần x 6 tuần) + 0.2BTL (9 giờ/bài x 1 bài),50,12,0,0,9,0,0,0,0.0,24,5.0,1.0,0.8,0.0,0.0,0.2,0,0,0,0.0,0,0,1a
2,2,LT,1.5_0.93_0_0_0.57,0.93LT (2 tiết/tuần x 7 tuần) + 0.57BTL (25.65g),75,14,0,0,26,0,0,0,0.0,28,7.0,1.5,0.93,0.0,0.0,0.57,0,0,0,0.0,0,0,1b
3,3,LT,2_1.4_0_0_0.6,1.4LT (3 tiết/tuần x 7 tuần) + 0.6BTL (9 giờ/bài x 3 bài),100,21,0,0,27,0,0,0,0.0,42,10.0,2.0,1.4,0.0,0.0,0.6,0,0,0,0.0,0,0,2c
4,4,LT,2_1.4_0_0.6_0,1.4LT (3 tiết/tuần x 7 tuần) + 0.6TN (18g),100,21,0,18,0,0,0,0,0.0,51,10.0,2.0,1.4,0.0,0.6,0.0,0,0,0,0.0,0,0,2b
5,5,LT,2_1.6_0_0_0.4,1.6LT (2 tiết/tuần x 12 tuần) + 0.4BTL (9 giờ/bài x 2 bài),100,24,0,0,18,0,0,0,0.0,48,10.0,2.0,1.6,0.0,0.0,0.4,0,0,0,0.0,0,0,2a
6,6,LT,2_1.6_0_0.4_0,1.6LT (2 tiết/tuần x 12 tuần) + 0.4TN (3 tiết/tuần x 4 tuần liên tục),100,24,0,12,0,0,0,0,0.0,54,10.0,2.0,1.6,0.0,0.4,0.0,0,0,0,0.0,0,0,2e
7,7,LT,1_1_0_0_0,1LT (2 tiết/tuần x 7 tuần),50,15,0,0,0,0,0,0,0.0,30,5.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1c
8,8,LT,4_2_0.6_1_0.4,"2LT (2 tiết/tuần x 15 tuần) + 0,6ThL (2 tiết/tuần x 9 tuần) + 1TN (5 tiết/tuần x 6 tuần) + 0,4BTL (9 giờ/bài x 2 bài)",200,30,18,30,18,0,0,0,0.0,84,20.0,4.0,2.0,0.6,1.0,0.4,0,0,0,0.0,0,0,4i
9,9,LT,3_2_0.33_0_0.67/1,2LT (2 tiết/tuần x 15 tuần) + 0.33ThL (2 tiết/tuần x 5 tuần liên tục) + 0.67BTL (10 giờ/bài x 3 bài),150,30,10,0,30,0,0,0,0.0,65,15.0,3.0,2.0,0.33,0.0,0.67,0,0,0,0.0,0,0,3j
10,10,LT,3_2_0.33_0_0.67,2LT (2 tiết/tuần x 15 tuần) + 0.33ThL (2 tiết/tuần x 5 tuần) + 0.67BTL (10 giờ/bài x 3 bài),150,30,10,0,30,0,0,0,0.0,65,15.0,3.0,2.0,0.33,0.0,0.67,0,0,0,0.0,0,0,3h
11,11,LT,3_2_0.33_0.67_0,2LT (2 tiết/tuần x 15 tuần) + 0.33ThL (2 tiết/tuần x 5 tuần) + 0.67TN (5 tiết/tuần x 4 tuần),150,30,10,20,0,0,0,0,0.0,75,15.0,3.0,2.0,0.33,0.67,0.0,0,0,0,0.0,0,0,3k
12,12,LT,3_2_0_0.33_0.67,2LT (2 tiết/tuần x 15 tuần) + 0.33TN (5 tiết/tuần x 2 tuần) + 0.67BTL (10 giờ/bài x 3 bài),150,30,0,10,30,0,0,0,0.0,65,15.0,3.0,2.0,0.0,0.33,0.67,0,0,0,0.0,0,0,3m
13,13,LT,3_2_0.47_0_0.53,2LT (2 tiết/tuần x 15 tuần) + 0.47ThL (2 tiết/tuần x 7 tuần) + 0.53BTL (24 giờ/bài x 1 bài),150,30,14,0,24,0,0,0,0.0,67,15.0,3.0,2.0,0.47,0.0,0.53,0,0,0,0.0,0,0,3f
14,14,LT,3_2_0.4_0_0.6,2LT (2 tiết/tuần x 15 tuần) + 0.4ThL (2 tiết/tuần x 6 tuần) + 0.6BTL (9 giờ/bài x 3 bài),150,30,12,0,27,0,0,0,0.0,66,15.0,3.0,2.0,0.4,0.0,0.6,0,0,0,0.0,0,0,3b
15,15,LT,2.5_2_0_0_0.5,2LT (2 tiết/tuần x 15 tuần) + 0.5BTL (22.5g),125,30,0,0,23,0,0,0,0.0,60,12.0,2.5,2.0,0.0,0.0,0.5,0,0,0,0.0,0,0,2d
16,16,LT,3_2_0_0.5_0.5,2LT (2 tiết/tuần x 15 tuần) + 0.5TN (5 tiết/tuần x 3 tuần) + 0.5BTL (22.5 giờ/bài x 1 bài),150,30,0,15,23,0,0,0,0.0,67,15.0,3.0,2.0,0.0,0.5,0.5,0,0,0,0.0,0,0,3g
17,17,LT,3_2_0_0.67_0.33/1,2LT (2 tiết/tuần x 15 tuần) + 0.67TN (4 tiết/tuần x 5 tuần) + 0.33BTL (15 giờ/bài x 1 bài),150,30,0,20,15,0,0,0,0.0,70,15.0,3.0,2.0,0.0,0.67,0.33,0,0,0,0.0,0,0,3o
18,18,LT,3_2_0_0.67_0.33,2LT (2 tiết/tuần x 15 tuần) + 0.67TN (5 tiết/tuần x 4 tuần) + 0.33BTL (15 giờ/bài x 1 bài),150,30,0,20,15,0,0,0,0.0,70,15.0,3.0,2.0,0.0,0.67,0.33,0,0,0,0.0,0,0,3e
