MAKEM,MAMH,TENMH,TENMH_ENG,MASUBJECTAREA,SOTC,SOTC_HP,SOTIET,SOTIET_XEPTKB,loai_mh,f_lt,f_bt,f_tn,f_btl,f_da,f_la,f_tq,f_makh,mau
,003001,ANH VAN 1               ,English 1                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003002,ANH VAN 2               ,English 2                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003003,ANH VAN 3               ,English 3                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003004,ANH VAN 4               ,English 4                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003005,PHAP VAN 1              ,French 1                                                                                                                          ,LA,2,2,60,60,Prsn,0,60,0,0,0,0,0,TN,
,003006,PHAP VAN 2              ,French 2                                                                                                                          ,LA,2,2,60,60,Prsn,0,60,0,0,0,0,0,TN,
,003007,PHAP VAN 3              ,French 3                                                                                                                          ,LA,2,2,60,60,Prsn,0,60,0,0,0,0,0,TN,
,003008,PHAP VAN 4              ,French 4                                                                                                                          ,LA,2,2,60,60,Prsn,0,60,0,0,0,0,0,TN,
,003009,ANH VAN 3C              ,English 3C                                                                                                                        ,LA,2,2,60,60,Lec,60,0,0,0,0,0,0,TN,
,003010,PHAP VAN                ,French                                                                                                                            ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003011,NGOAI NGU 1             ,NGOAI NGU 1             ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003012,NGOAI NGU 2             ,NGOAI NGU 2             ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003013,NGOAI NGU 3             ,NGOAI NGU 3             ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003014,NGOAI NGU 4             ,NGOAI NGU 4             ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003015,NGOAI NGU 3C            ,NGOAI NGU 3C            ,LA,2,2,60,60,Lec,60,0,0,0,0,0,0,TN,
,003016,ANH VAN 1               ,English 1                                                                                                                         ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003017,ANH VAN 2               ,English 2                                                                                                                         ,LA,3,3,75,75,Lec,75,0,0,0,0,0,0,TN,
,003018,ANH VAN 3               ,English 3                                                                                                                         ,LA,2,2,45,39,Lec,39,0,6,0,0,0,0,TN,
,003019,ANH VAN KY THUAT        ,Technical English                                                                                                                 ,LA,2,2,45,39,Lec,39,0,6,0,0,0,0,TN,
,003020,ANH VAN QCN 1           ,ANH VAN QCN 1           ,LA,4,4,60,60,Lec,60,0,0,0,0,0,0,TN,
,003021,ANH VAN QCN 2           ,ANH VAN QCN 2           ,LA,4,4,60,60,Lec,60,0,0,0,0,0,0,TN,
,003022,PHAP VAN 1              ,French 1                                                                                                                          ,LA,3,3,75,45,Lec,45,30,0,0,0,0,0,TN,
,003023,PHAP VAN 2              ,French 2                                                                                                                          ,LA,3,3,75,45,Lec,45,30,0,0,0,0,0,TN,
,003024,PHAP VAN 3              ,French 3                                                                                                                          ,LA,2,2,45,30,Lec,30,15,0,0,0,0,0,TN,
,003025,PHAP VAN KY THUAT       ,Technical French                                                                                                                  ,LA,2,2,45,39,Lec,39,0,6,0,0,0,0,TN,
,003026,NGOAI NGU 1 (CD)        ,NGOAI NGU 1 (CD)        ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003027,NGOAI NGU 2 (CD)        ,NGOAI NGU 2 (CD)        ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
