room_id,room_description,resource_type
B2-404,H,GENERAL
B2-103,Q,GENERAL
B6-107,Y,GENERAL
B6-108,9,GENERAL
C3-109.1,GT,GENERAL
C3-109,TA,GENERAL
B4-202,UD,GENERAL
B2-209,H_,GENERAL
A4-511,MQ,GENERAL
A4-408,QT,GENERAL
A4-409,DB,GENERAL
A4-410,QT,GENERAL
A4-506,QT,GENERAL
A4-507,QT,GENERAL
A4-508,QT,GENERAL
A4-509,QT,GENERAL
A4-510,QT,GENERAL
B1-112.2,E,GENERAL
B1-114,I,GENERAL
B10-102,QL,GENERAL
B10-201,BR,GENERAL
B10-202,DB,GENERAL
B10-203,DB,GENERAL
B10-204,QT,GENERAL
B10-205,QT,GENERAL
B10-206,QT,GENERAL
B10-207,QT,GENERAL
B10-301,LECTURE,GENERAL
TNCNTP,CP,COMPUTER_LAB
B11-203,DL,GENERAL
B1-206,QT,GENERAL
B1-208,QT,GENERAL
B1-305,QT,GENERAL
B1-306,QT,GENERAL
B1-307,QT,GENERAL
B1-102,F,GENERAL
B1-201,QT,GENERAL
B1-202,QT,GENERAL
B1-203,QT,GENERAL
B1-301,QT,GENERAL
B1-302,QT,GENERAL
B1-303,QT,GENERAL
B3-203,XG,GENERAL
B1-209,SO,GENERAL
B1-210,QT,GENERAL
B1-211,QT,GENERAL
B1-212,QT,GENERAL
B1-213,QT,GENERAL
B1-214,QT,GENERAL
B1-215,QT,GENERAL
B1-308,QT,GENERAL
B1-309,QT,GENERAL
B1-310,QT,GENERAL
B1-311,QT,GENERAL
B1-313,QT,GENERAL
B1-314,QT,GENERAL
B1-315,QT,GENERAL
B2-107,S2,STUDIO
B2-201,QT,GENERAL
B2-202,QT,GENERAL
B2-305,J,GENERAL
B2-109,7,GENERAL
B2-118,/,GENERAL
B2-117,LM,GENERAL
B2-406,VC,GENERAL
B2-108,HS,GENERAL
B2-205,XT,GENERAL
B2-119,DK,GENERAL
B2-214,L,GENERAL
B2-206,P,GENERAL
B2-405,VA,GENERAL
