,F_MAMH,F_MANH,F_SISO,F_TCPHONG
0,MI1003,UTH1,-5.0,NT
1,MI1003,A01,-5.0,NT
2,MI1003,A02,-5.0,NT
3,EE2003,N1HT,82.0,QT
4,EE2017,N1HT,84.0,QT
5,EE2035,N1HT,84.0,QT
6,EE2039,N1HT,84.0,QT
7,EE3001,N1HT,80.0,QT
8,EE3027,N1HT,80.0,QT
9,EE3009,N1HT,80.0,QT
10,EE3023,N1HT,24.0,M9
11,EE3181,N1HT,80.0,QT
12,EE3087,N1HT,86.0,QT
13,EE3131,N1HT,80.0,QT
14,EE3001,N1H2,20.0,QT
15,EE3027,N1H2,20.0,QT
16,EE3009,N1H2,20.0,QT
17,EE3023,N1H2,20.0,M9
18,EE2004,N1HT,80.0,QT
19,EE2018,N1HT,22.0,N
20,EE2036,N1HT,22.0,MD
21,EE2040,N1HT,30.0,D1
22,EE3002,N1HT,20.0,E
23,EE3028,N1HT,20.0,F
24,EE3010,N1HT,20.0,N
25,EE3088,N1HT,24.0,ET
26,EE3002,N1H2,20.0,E
27,EE3028,N1H2,20.0,F
28,EE3010,N1H2,20.0,N
29,EE3088,N1H2,20.0,ET
30,EE2018,N1H1,22.0,N
31,EE2018,N1H2,22.0,N
32,EE2018,N1H3,22.0,N
33,EE2036,N1H2,22.0,MD
34,EE2036,N1H3,22.0,MD
35,EE2036,N1H4,22.0,MD
36,EE2040,N1H2,30.0,D1
37,EE2040,N1H3,30.0,D1
38,EE3002,N1H1,20.0,E
39,EE3002,N1H3,20.0,E
40,EE3002,N1H4,20.0,E
41,EE3028,N1H1,20.0,F
42,EE3028,N1H3,20.0,F
43,EE3028,N1H4,20.0,F
44,EE3010,N1H1,20.0,N
45,EE3010,N1H3,20.0,N
46,EE3010,N1H4,20.0,N
47,EE3023,N1H3,24.0,M9
48,EE3023,N1H4,24.0,M9
49,EE3023,N1H1,24.0,M9
50,EE3088,N1H1,24.0,ET
51,EE3088,N1H3,24.0,ET
52,ME2005,L01,50.0,LH
53,ME2009,L01,75.0,LH
54,ME2115,L01,30.0,.
55,ME4019,L01,900.0,.
56,ME4071,CC01,100.0,
57,ME4071,L01,100.0,
58,ME4201,L01,60.0,LH
59,ME4203,CC01,60.0,QT
60,ME4221,L01,100.0,.
61,ME4053,L01,900.0,.
62,ME4081,L01,100.0,
63,ME4091,L01,100.0,.
64,ME4141,L01,60.0,LH
65,ME4311,L01,60.0,LH
66,ME3003,CC01,25.0,QT
67,ME3003,L01,75.0,LH
68,ME3033,L01,25.0,LH
69,ME3201,L01,25.0,LH
70,ME3207,L01,25.0,LH
71,ME3239,L01,50.0,LH
72,ME4007,CC01,30.0,QT
73,ME4007,L01,60.0,LH
74,ME1019,L01,60.0,LH
75,ME3105,L01,60.0,LH
76,ME4113,L01,100.0,.
77,ME4121,L01,100.0,
78,ME4533,L01,70.0,LH
79,ME4061,CC01,60.0,.
80,ME4061,L01,61.0,
81,ME4093,L01,100.0,.
82,ME4727,L01,900.0,.
83,ME3297,CC01,60.0,QT
84,ME3297,L01,60.0,LH
85,ME3299,L01,60.0,LH
86,ME4101,L01,100.0,.
87,ME4103,CC01,60.0,.
88,ME4103,L01,100.0,.
89,ME4611,L01,60.0,LH
90,ME4615,L01,60.0,LH
91,ME4617,L01,60.0,LH
92,ME4625,CC01,70.0,QT
93,ME4625,L01,70.0,LH
94,ME4641,CC01,60.0,QT
95,ME4641,L01,60.0,LH
96,IU2021,L01,60.0,LH
97,IU3011,L01,25.0,LH
98,IU3067,L01,25.0,LH
99,IU3087,L01,60.0,LH
100,IU4013,L01,60.0,
101,ME3281,L01,50.0,LH
102,ME1015,L01,60.0,LH
103,ME2089,L01,80.0,LH
104,ME2091,L01,70.0,LH
105,ME2117,L01,35.0,CM
106,ME2135,CC01,60.0,.
107,ME2135,L01,67.0,
108,ME2135,A01,60.0,.
109,ME2137,L01,40.0,TK
110,ME3027,L01,70.0,LH
111,ME3139,CC01,60.0,.
112,ME3139,L01,60.0,
113,ME3141,L01,40.0,TK
114,ME3215,L01,60.0,LH
115,ME4003,L01,60.0,LH
116,ME4047,L01,100.0,.
117,ME4049,L01,900.0,.
118,ME4085,L01,100.0,.
119,GE2035,CC01,60.0,QT
120,GE1027,CC01,60.0,QT
121,GE1013,A01,105.0,QT
122,GE2073,L01,60.0,LH
123,GE3211,L01,60.0,LH
124,GE3205,L01,60.0,LH
125,GE3207,L01,60.0,LH
126,GE3181,L01,60.0,LH
127,GE3137,L01,60.0,LH
128,GE4069,L01,60.0,LH
129,GE2035,L01,80.0,LH
130,GE2031,L01,60.0,LH
131,GE3183,L01,60.0,LH
132,GE2037,L01,60.0,LH
133,GE2043,L01,60.0,LH
134,GE1011,L01,60.0,LH
135,GE2041,L01,60.0,LH
136,GE2055,L01,60.0,LH
137,GE4141,L01,100.0,.
138,GE3145,L01,60.0,.
139,GE3157,L01,60.0,.
140,GE3159,L01,60.0,.
141,GE2057,L01,500.0,.
142,GE3175,L01,60.0,LH
143,GE1027,L01,60.0,LH
144,GE2099,L01,60.0,LH
145,GE3017,L01,60.0,LH
146,GE4091,L01,60.0,LH
147,GE4033,L01,60.0,LH
148,GE3177,L01,60.0,LH
149,GE2067,L01,60.0,LH
150,GE3013,L01,25.0,G1
151,GE2047,L01,60.0,LH
152,GE4145,L01,60.0,LH
153,GE2075,L01,30.0,.
154,GE2033,L01,20.0,LH
155,GE2069,L01,60.0,LH
156,GE3165,L01,60.0,LH
157,GE2065,L01,60.0,LH
158,GE3243,L01,60.0,LH
159,GE2035,A01,60.0,QT
160,GE1013,CC04,70.0,QT
161,GE2011,L01,60.0,LH
162,GE3209,L01,900.0,.
163,GE4085,L01,60.0,LH
164,TR3059,L01,60.0,LH
165,TR4087,L01,60.0,LH
166,TR4093,L01,60.0,.
167,TR4079,L01,100.0,
168,TR2011,L01,60.0,LH
169,TR4021,L01,30.0,LH
170,TR2033,L01,60.0,LH
171,TR4317,L01,100.0,.
172,TR3091,L01,60.0,LH
173,TR4051,L01,60.0,LH
174,TR4001,L01,25.0,LH
175,CH4051,CC01,25.0,QT
176,CH3421,CC01,60.0,QT
177,CH3429,CC01,20.0,QT
178,CH4053,CC01,60.0,.
179,CH4095,CC01,60.0,.
180,CH4007,CC01,60.0,.
181,CH4099,CC01,60.0,.
182,CH4125,CC01,65.0,QT
183,CH4091,CC01,60.0,QT
184,CH4085,CC01,60.0,QT
185,CH4079,CC01,80.0,QT
186,CH2003,CC01,60.0,QT
187,CH2113,CC01,60.0,QT
188,CH4061,CC01,60.0,QT
189,CH2051,CC01,60.0,QT
190,CH2043,CC01,60.0,QT
191,CH2041,CC01,35.0,L
192,CH4125,A01,70.0,QT
193,CH4079,A01,80.0,QT
194,CH4051,L01,25.0,LH
195,CH4087,L01,60.0,LH
196,CH3421,L01,60.0,LH
197,CH4139,L01,20.0,LH
198,CH4127,L01,60.0,LH
199,CH4137,L01,60.0,LH
200,CH4129,L01,60.0,LH
201,CH3399,L01,20.0,LH
202,CH3409,L01,20.0,LH
203,CH4053,L01,40.0,
204,CH4095,L01,40.0,
205,CH4103,L01,40.0,.
206,CH4057,L01,40.0,.
207,CH4007,L01,40.0,
208,CH4125,L01,75.0,LH
209,CH4091,L01,60.0,LH
