Cơ sở,Dãy,Tên PH cũ,Chú thích,Sức chứa,Tính chất phòng,Mã Phòng,Tên phòng
,NG1,TTNT1,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT2,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT3,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT4,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT5,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT6,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT7,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT8,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT9,THUC TAP NGOAI TRUOG,200,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT10,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT11,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT12,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT13,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT14,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT15,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT16,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT17,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT18,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT19,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT20,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT21,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT22,THUC TAP NGOAI TRUOG,170,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT23,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT24,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT25,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT26,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT27,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT28,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT29,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT30,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT31,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT32,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT33,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG1,TTNT34,THUC TAP NGOAI TRUOG,80,NT,------,THUC TAP NGOAI TRUOG          
,NG2,TTTNC1,THUC TAP NGOAI TRUOG,100,NT,------,THUC TAP NGOAI TRUOG          
