course_id,course_name,resource_type
003001,ANH VAN 1,GENERAL
003002,ANH VAN 2,GENERAL
003003,ANH VAN 3,GENERAL
003004,ANH VAN 4,GENERAL
003005,PHAP VAN 1,GENERAL
003006,PHAP VAN 2,GENERAL
003007,PHAP VAN 3,GENERAL
003008,PHAP VAN 4,GENERAL
003009,ANH VAN 3C,GENERAL
003010,PHAP VAN,GENERAL
003011,NGOAI NGU 1,GENERAL
003012,NGOAI NGU 2,GENERAL
003013,NGOAI NGU 3,GENERAL
003014,NGOAI NGU 4,GENERAL
003015,NGOAI NGU 3C,GENERAL
003016,ANH VAN 1,GENERAL
003017,ANH VAN 2,GENERAL
003018,ANH VAN 3,GENERAL
003019,ANH VAN KY THUAT,GENERAL
003020,ANH VAN QCN 1,GENERAL
003021,ANH VAN QCN 2,GENERAL
003022,PHAP VAN 1,GENERAL
003023,PHAP VAN 2,GENERAL
003024,PHAP VAN 3,GENERAL
003025,PHAP VAN KY THUAT,GENERAL
003026,NGOAI NGU 1 (CD),GENERAL
003027,NGOAI NGU 2 (CD),GENERAL
003028,NGOAI NGU 3 (CD),GENERAL
003029,PHAP VAN 0 CHUYEN (DD95),GENERAL
003030,NGOAI NGU 1 (CD),GENERAL
003031,NGOAI NGU 2 (CD),GENERAL
003032,NGOAI NGU 3 (CD),GENERAL
003033,ANH VAN 1,GENERAL
003034,ANH VAN 2,GENERAL
003035,ANH VAN 3,GENERAL
003036,ANH VAN 4,GENERAL
003037,ANH VAN 1,GENERAL
003038,ANH VAN 2,GENERAL
003039,ANH VAN 1,GENERAL
003040,ANH VAN 3,GENERAL
003041,PHAP VAN 1 (CD),GENERAL
003042,PHAP VAN 1 (DAI CUONG),GENERAL
003043,ANH VAN 3,GENERAL
003044,PHAP VAN 2 (CD),GENERAL
003045,PHAP VAN 3 (CD),GENERAL
003050,ANH VAN 1,GENERAL
003051,ANH VAN 1,GENERAL
003052,ANH VAN 2,GENERAL
003053,ANH VAN 3,GENERAL
003054,TIENG ANH (2),GENERAL
003055,TIENG PHAP (1),GENERAL
003056,ANH VAN 4,GENERAL
003057,ANH VAN 4,GENERAL
