course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
AS1001,NHAP MON VE KY THUAT,AS,,3,150,30,24,0,0,9,0,LECTURE,AS1002,GENERAL,1.0
AS1003,Cơ lý thuyết,AS,,3,150,30,30,0,0,0,0,LECTURE,AS1004,GENERAL,1.0
AS2003,Kỹ thuật Lập trình Cơ Kỹ,AS,,3,150,30,24,0,0,9,0,LECTURE,AS2004,GENERAL,1.0
AS2009,Cơ sở Cơ học Lượng tử -,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS2013,CAD ?ng dụng,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS2039,Cơ sở vật lý Hạt nhân và,AS,,3,150,30,12,0,0,27,0,LECTURE,AS2040,GENERAL,1.0
AS2051,TINH TOAN KHOA HOC,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS2059,QUANGHOC K/THUAT &U/DUNG,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS2069,Phương pháp số cho khoa,AS,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS2071,Cơ học kỹ thuật,AS,,3,150,30,24,0,0,9,0,LECTURE,AS2072,GENERAL,1.0
AS3029,Lý thuyết dẻo Kỹ thuật,AS,,3,150,30,24,0,0,9,0,LECTURE,AS3030,GENERAL,1.0
AS3031,Đo lường các Đại lượng p,AS,,3,150,30,12,0,0,27,0,LECTURE,AS3032,GENERAL,1.0
AS3041,Xử lý Tín hiệu số,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS3057,TRUC QUAN HOA DU LIEU,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS3061,Dao động Cơ sở,AS,,3,150,30,24,0,0,9,0,LECTURE,AS3062,GENERAL,1.0
AS3069,Thiết bị Chẩn đoán hình,AS,,3,150,30,10,20,0,0,0,LECTURE,AS3070,GENERAL,1.0
AS3103,Kỹ thuật Thiết bị Y học,AS,,4,200,45,0,20,0,15,0,LECTURE,AS3104,GENERAL,1.0
AS3105,Cơ sở Y khoa,AS,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS3107,KY THUAT LAP TRINH (VLTT,AS,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS3109,CS VATLY TINHTOAN & MPVL,AS,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
AS3147,Cơ học Vật rắn Biến dạng,AS,,3,150,30,30,0,0,0,0,LECTURE,AS3148,GENERAL,1.0
AS3153,Thực tập cơ kỹ thuật,AS,,2,100,0,0,60,0,0,0,LAB,,GENERAL,1.0
AS3169,Thiết kế kỹ thuật,AS,,3,150,30,12,0,0,27,0,LECTURE,AS3170,GENERAL,1.0
AS3179,Mô hình thống kê,AS,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH1001,NHAP MON VE KY THUAT,CH,,3,150,30,10,0,0,30,0,LECTURE,CH1002,GENERAL,1.0
CH1003,HOA DAI CUONG,CH,,3,150,30,0,20,0,15,0,LECTURE,CH1004,GENERAL,1.0
CH1005,HOA LY HOA KEO,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH1019,DINH DUONG,CH,,3,150,30,0,30,0,0,0,LECTURE,CH1020,GENERAL,1.0
CH2003,HOA LY 1,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2007,HOA HOC-HOASINH THUCPHAM,CH,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2009,HOA PHAN TICH,CH,,3,150,30,0,20,0,15,0,LECTURE,CH2010,GENERAL,1.0
CH2013,HOA VO CO,CH,,4,200,45,0,30,0,0,0,LECTURE,CH2014,GENERAL,1.0
CH2017,KY THUAT THUC PHAM 1,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2021,HOA HUU CO,CH,,3,150,30,18,0,0,18,0,LECTURE,CH2022,GENERAL,1.0
CH2027,SINH HOC DAI CUONG,CH,,3,150,30,0,30,0,0,0,LECTURE,CH2028,GENERAL,1.0
CH2033,HOA SINH,CH,,4,200,45,0,30,0,0,0,LECTURE,CH2034,GENERAL,1.0
CH2039,KY THUAT THUC PHAM 3,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2041,THI NGHIEM HOA LY,CH,,2,100,0,0,60,0,0,0,LAB,,GENERAL,1.0
CH2043,Q/TR & TH/BI TRUYENNHIET,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2047,QUATRINH KTHUAT SINHHOC2,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2049,TN HOA HOC & HOA SINH TP,CH,,2,100,0,0,60,0,0,0,LAB,,GENERAL,1.0
CH2051,Q/TRINH &TBI TRUYEN KHOI,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2093,QUA TRINH SINH HOC 3,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH2113,HOA PHAN TICH,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3003,VI SINH VAT,CH,,4,200,45,0,30,0,0,0,LECTURE,CH3004,GENERAL,1.0
CH3015,T/N QUA TRINH THIET BI,CH,,2,100,0,0,60,0,0,0,LAB,,GENERAL,1.0
CH3017,CONGNGHE CHEBIEN TH/PHAM,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3021,CONGNGHE PROTEIN -ENZYME,CH,,4,200,30,0,30,0,45,0,LECTURE,CH3022,GENERAL,1.0
CH3049,P/TICH CAM QUAN THUCPHAM,CH,,3,150,30,0,30,0,0,0,LECTURE,CH3050,GENERAL,1.0
CH3131,CONG NGHE GEN,CH,,4,200,30,0,30,0,45,0,LECTURE,CH3132,GENERAL,1.0
CH3133,"MO HINH HOA,MP &TƯH CNHH",CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3309,T/KE TNGHIEM &XLY SOLIEU,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3327,HOA KEO,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3329,CAC P/PHAP PHAN TICH HD,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3337,TONG HOP HUU CO HOA DAU,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3339,CO SO HOA SINH & VI SINH,CH,,3,150,30,24,0,0,9,0,LECTURE,CH3340,GENERAL,1.0
CH3341,COSO DIEU KHIEN QUATRINH,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3351,SINH HOC TE BAO,CH,,4,200,45,0,20,0,15,0,LECTURE,CH3352,GENERAL,1.0
CH3361,S/HOC PHAN TU &DI TRUYEN,CH,,4,200,45,0,20,0,15,0,LECTURE,CH3362,GENERAL,1.0
CH3421,CO SO KY THUAT MY PHAM,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3425,SINH HOA DUOC,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3427,"SINH LY, MIEN DICH HOC",CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH3429,CONG NGHE SX MY PHAM,CH,,3,150,30,0,30,0,0,0,LECTURE,CH3430,GENERAL,1.0
CH3437,SINH HOC TE BAO,CH,,3,150,30,10,20,0,0,0,LECTURE,CH3438,GENERAL,1.0
CH3439,SINH HOC PHAN TU VA DI T,CH,,3,150,30,0,20,0,15,0,LECTURE,CH3440,GENERAL,1.0
CH4051,AN TOAN QUA TRINH,CH,,3,150,30,0,30,0,0,0,LECTURE,CH4052,GENERAL,1.0
CH4059,KIEM TOAN NANG LUONG,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4061,K/THUAT DUONG ONG BECHUA,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4063,THIET KE P&ID,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4065,VANHANH HT QUYTRINH CNHH,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4067,CO SO THIET KE NHA MAY,CH,,3,150,30,12,0,0,27,0,LECTURE,CH4068,GENERAL,1.0
CH4069,SAN XUAT SACH HON,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4071,DIEU KHIEN TU DONG QTCN,CH,,3,150,30,0,20,0,15,0,LECTURE,CH4072,GENERAL,1.0
CH4073,KY THUAT PHA PHAN TAN,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4075,CONG NGHE XL &TAI CHE CT,CH,,3,150,30,12,0,0,27,0,LECTURE,CH4076,GENERAL,1.0
CH4077,NHIEN LIEU S/HOC & NLTT,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4079,HOA HOC XANH,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4081,C/NGHE SX PB&CAC HC VOCO,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4083,CO SO KY THUAT POLYMER,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4085,H/HOC &C/NGHE CHAT HDBM,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4087,CAC PP VATLY NC CHAT RAN,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4089,CO SO KT BUC XA &UNGDUNG,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4091,HOA HOC NANO & UNG DUNG,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4093,DOC CHAT HOC CN UNG DUNG,CH,,3,75,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4101,QUAN TRI C/LUONG T/PHAM,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4147,CS VAT LIEU&CHONG AN MON,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4159,AN TOAN THUC PHAM,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CH4163,AN TOAN SINH HOC,CH,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI1001,NHAP MON VE KY THUAT,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI1003,VE KY THUAT,CI,,3,150,30,10,20,0,0,0,LECTURE,CI1004,GENERAL,1.0
CI1007,TRAC DIA DAI CUONG,CI,,3,150,30,0,30,0,0,0,LECTURE,CI1008,GENERAL,1.0
CI1033,VE KY THUAT XAY DUNG,CI,,3,150,30,10,20,0,0,0,LECTURE,CI1034,GENERAL,1.0
CI1065,NHAP MON KIEN TRUC,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2001,SUC BEN VAT LIEU,CI,,3,150,30,0,20,0,15,0,LECTURE,CI2002,GENERAL,1.0
CI2003,CO LUU CHAT,CI,,3,150,30,0,20,0,15,0,LECTURE,CI2004,GENERAL,1.0
CI2007,SUC BEN VAT LIEU,CI,,4,200,45,0,20,0,15,0,LECTURE,CI2008,GENERAL,1.0
CI2037,VAT LIEU XAY DUNG,CI,,3,150,30,0,15,0,23,0,LECTURE,CI2038,GENERAL,1.0
CI2045,HE THONG THONGTIN DIA LY,CI,,3,150,30,0,30,0,0,0,LECTURE,CI2046,GENERAL,1.0
CI2095,DIA CHAT CONG TRINH,CI,,3,150,30,0,30,0,0,0,LECTURE,CI2096,GENERAL,1.0
CI2097,N/LY THIETKE K/TRUC CTDD,CI,,4,200,45,0,0,45,45,0,LECTURE,,GENERAL,1.0
CI2099,L/SU KIEN TRUC VA DINHCU,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2111,BO CUC TAO HINH TRONG KT,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2115,N/LY QUY HOACH &TK DOTHI,CI,,3,150,30,24,0,0,9,0,LECTURE,CI2116,GENERAL,1.0
CI2127,HOA HOC NUOC TRONG KTMT,CI,,3,150,30,0,20,0,15,0,LECTURE,CI2128,GENERAL,1.0
CI2129,CAC QT XU LY TRONG KTMT,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2131,TN MOI TRUONG NUOC DOTHI,CI,,1,50,0,0,30,0,0,0,LAB,,GENERAL,1.0
CI2133,KET CAU THEP,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2135,CO KET CAU,CI,,3,150,30,12,0,0,27,0,LECTURE,CI2136,GENERAL,1.0
CI2137,CO HOC DAT,CI,,3,150,30,14,0,0,24,0,LECTURE,CI2138,GENERAL,1.0
CI2139,KET CAU BE TONG COT THEP,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2147,THI NGHIEM CONG TRINH,CI,,1,50,0,0,30,0,0,0,LAB,,GENERAL,1.0
CI2149,THI NGHIEM VAT LIEU CTGT,CI,,1,50,0,0,30,0,0,0,LAB,,GENERAL,1.0
CI2153,THUY LUC &THUY VAN DOTHI,CI,,4,200,45,0,20,0,15,0,LECTURE,CI2154,GENERAL,1.0
CI2155,THINGHIEM VATLY KIENTRUC,CI,,1,50,0,0,30,0,0,0,LAB,,GENERAL,1.0
CI2157,NHAP MON BIM TRONG XD,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI2159,BAN VE XAY DUNG VA DO HO,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3061,PHUONG PHAP PHAN TU HH,CI,,3,150,30,12,0,0,27,0,LECTURE,CI3062,GENERAL,1.0
CI3067,HE THONG DINHVI TOAN CAU,CI,,3,150,30,0,30,0,0,0,LECTURE,CI3068,GENERAL,1.0
CI3241,CAP THOAT NUOC,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3251,LY THUYET S/SO &XU LY SL,CI,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3259,KY THUAT DIA CHINH,CI,,4,200,45,24,0,0,9,0,LECTURE,CI3260,GENERAL,1.0
CI3269,SUC BEN VAT LIEU,CI,,3,150,30,12,0,0,27,0,LECTURE,CI3270,GENERAL,1.0
CI3273,T/KE KIEN TRUC II - CTCC,CI,,3,150,30,0,0,135,45,0,LECTURE,,GENERAL,1.0
CI3285,N/LY T/KE K/TRUC &KTCTCN,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3287,M/LY T/K K/TRUC CANHQUAN,CI,,3,150,30,24,0,0,9,0,LECTURE,CI3288,GENERAL,1.0
CI3289,LANH DAO VA KHOI NGHIEP,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3291,LANH DAO &QUAN LY DU AN,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3301,DO VE DIA HINH,CI,,3,150,30,0,30,0,0,0,LECTURE,CI3302,GENERAL,1.0
CI3411,LANH DAO & QL NANG LUONG,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3487,NGUYEN TAC THIET KE CONG,CI,,3,150,30,10,0,0,45,0,LECTURE,,GENERAL,1.0
CI3489,HE THONG QUY PHAM VA TIE,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3491,LUAT VA MOI TRUONG PHAP,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI3493,NGUYEN LY QUAN LY DU AN,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4023,THI CONG CONG TRINH CSHT,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4131,KET CAU CONG TRINH THEP,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4139,TKE CNSX& LDCKBT DUC SAN,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4140,GENERAL,1.0
CI4141,C/TRINH CAPTHOATNUOC &TB,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4143,QUAN LY DU AN & KT CANG,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4144,GENERAL,1.0
CI4145,CS THICONG &KHAI THAC CD,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4146,GENERAL,1.0
CI4147,KY THUAT T/CONG DUOINUOC,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4148,GENERAL,1.0
CI4153,BE TONG DAC BIET CHO CT,CI,,3,150,30,0,20,0,15,0,LECTURE,CI4154,GENERAL,1.0
CI4159,TRAC DIA CONG TRINH,CI,,4,200,30,0,30,0,45,0,LECTURE,CI4160,GENERAL,1.0
CI4161,QUY HOACH HA TANG DO THI,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4163,AN MON BE TONG VA BTCT,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4164,GENERAL,1.0
CI4165,HA TANG C/TR GIAO THONG,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4166,GENERAL,1.0
CI4177,T/KE IV - CT PHUC HOP,CI,,4,200,30,0,0,0,90,0,LECTURE,,GENERAL,1.0
CI4187,THIEN TAI &B/DOI KHI HAU,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4188,GENERAL,1.0
CI4189,Q/HOACH TO CHUC THI CONG,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4195,THUY LUC NUOC NGAM,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4197,QUY HOACH HATANG G/THONG,CI,,3,150,30,12,0,0,27,0,LECTURE,CI4198,GENERAL,1.0
CI4205,CAM THU CANH QUAN,CI,,3,150,30,0,0,0,0,0,LECTURE,CI4206,GENERAL,1.0
CI4207,THIET KE IV - C/QUAN DT,CI,,4,200,45,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI4213,KY THUAT XU LY NUOC,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI5003,KS NUOC MUA CHAY TRAN DT,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI5007,MO HINH HOA NUOC NGAM,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI5011,C/TRINH CAPTHOATNUOC &TB,CI,,3,150,15,0,0,90,0,0,LECTURE,,GENERAL,1.0
CI5031,T/N &D/H K/K TRG TOA NHA,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CI5033,DIA CHAT THUY VAN,CI,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO1003,Nhập môn về Lập trình,CO,,3,150,30,0,20,0,15,0,LECTURE,CO1004,GENERAL,1.0
CO1005,Nhập môn Điện toán,CO,,3,150,30,0,20,0,15,0,LECTURE,CO1006,GENERAL,1.0
