course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
003001,ANH VAN 1,LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003002,ANH VAN 2,LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003003,ANH VAN 3,LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003004,ANH VAN 4,LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003005,PHAP VAN 1,LA,,2,60,0,60,0,0,0,0,PRACTICAL,,GENERAL,1.0
003006,PHAP VAN 2,LA,,2,60,0,60,0,0,0,0,PRACTICAL,,GENERAL,1.0
003007,PHAP VAN 3,LA,,2,60,0,60,0,0,0,0,PRACTICAL,,GENERAL,1.0
003008,PHAP VAN 4,LA,,2,60,0,60,0,0,0,0,PRACTICAL,,GENERAL,1.0
003009,ANH VAN 3C,LA,,2,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003010,PHAP VAN,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003011,NGOAI NGU 1,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003012,NGOAI NGU 2,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003013,NGOAI NGU 3,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003014,NGOAI NGU 4,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003015,NGOAI NGU 3C,LA,,2,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003016,ANH VAN 1,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003017,ANH VAN 2,LA,,3,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003018,ANH VAN 3,LA,,2,45,39,0,6,0,0,0,LECTURE,,GENERAL,1.0
003019,ANH VAN KY THUAT,LA,,2,45,39,0,6,0,0,0,LECTURE,,GENERAL,1.0
003020,ANH VAN QCN 1,LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003021,ANH VAN QCN 2,LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003022,PHAP VAN 1,LA,,3,75,45,30,0,0,0,0,LECTURE,,GENERAL,1.0
003023,PHAP VAN 2,LA,,3,75,45,30,0,0,0,0,LECTURE,,GENERAL,1.0
003024,PHAP VAN 3,LA,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
003025,PHAP VAN KY THUAT,LA,,2,45,39,0,6,0,0,0,LECTURE,,GENERAL,1.0
003026,NGOAI NGU 1 (CD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003027,NGOAI NGU 2 (CD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003028,NGOAI NGU 3 (CD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003029,PHAP VAN 0 CHUYEN (DD95),LA,,0,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003030,NGOAI NGU 1 (CD),LA,,4,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
003031,NGOAI NGU 2 (CD),LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003032,NGOAI NGU 3 (CD),LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003033,ANH VAN 1,LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003034,ANH VAN 2,LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003035,ANH VAN 3,LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003036,ANH VAN 4,LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003037,ANH VAN 1,LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003038,ANH VAN 2,LA,,6,90,60,30,0,0,0,0,LECTURE,,GENERAL,1.0
003039,ANH VAN 1,LA,,3,84,84,0,0,0,0,0,LECTURE,,GENERAL,1.0
003040,ANH VAN 3,LA,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003041,PHAP VAN 1 (CD),LA,,4,60,30,30,0,0,0,0,LECTURE,,GENERAL,1.0
003042,PHAP VAN 1 (DAI CUONG),LA,,3,84,84,0,0,0,0,0,LECTURE,,GENERAL,1.0
003043,ANH VAN 3,LA,,3,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003044,PHAP VAN 2 (CD),LA,,4,60,30,30,0,0,0,0,LECTURE,,GENERAL,1.0
003045,PHAP VAN 3 (CD),LA,,4,60,30,30,0,0,0,0,LECTURE,,GENERAL,1.0
003050,ANH VAN 1,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003051,ANH VAN 1,LA,,3,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
003052,ANH VAN 2,LA,,3,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
003053,ANH VAN 3,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003054,TIENG ANH (2),LA,,6,90,90,0,0,0,0,0,LECTURE,,GENERAL,1.0
003055,TIENG PHAP (1),LA,,6,90,90,0,0,0,0,0,LECTURE,,GENERAL,1.0
003056,ANH VAN 4,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003057,ANH VAN 4,LA,,3,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
003058,ANH VAN 2,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003059,ANH VAN 3,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003060,ANH VAN 4,LA,,5,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003101,CHUAN AV VAO,LA,,0,60,0,60,0,0,0,0,PRACTICAL,,GENERAL,1.0
003102,ANH VAN DAU VAO HE VLVH,LA,,0,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
003103,ANH VAN 3,LA,,2,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003104,ANH VAN 4,LA,,2,45,40,0,5,0,0,0,LECTURE,,GENERAL,1.0
003105,PHAP VAN 4,LA,,2,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003106,VAN HOA NHAT,EE,,2,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003107,PHAP VAN 5 (AUF),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003108,PHAP VAN 6 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003109,PHAP VAN 7 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003110,PHAP VAN 8 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003401,PRINCIPLES OFCOMPOSITION,EE,,3,69,30,12,0,0,27,0,LECTURE,,GENERAL,1.0
003402,PRINCIPLES OFCOMPOS.(BT),EE,,0,12,0,12,0,0,0,0,PRACTICAL,,GENERAL,1.0
