room_id,campus,capacity,room_type,resource_type
B2-404,1,25,H,GENERAL
B2-103,1,60,Q,GENERAL
B6-107,1,67,Y,GENERAL
B6-108,1,108,9,GENERAL
C3-109.1,1,80,GT,GENERAL
C3-109,1,40,TA,GENERAL
B4-202,1,62,UD,GENERAL
B2-209,1,50,H_,GENERAL
A4-511,1,36,MQ,GENERAL
A4-408,1,40,QT,GENERAL
A4-409,1,56,DB,GENERAL
A4-410,1,30,QT,GENERAL
A4-506,1,40,QT,GENERAL
A4-507,1,40,QT,GENERAL
A4-508,1,40,QT,GENERAL
A4-509,1,40,QT,GENERAL
A4-510,1,72,QT,GENERAL
B1-112.2,1,30,E,GENERAL
B1-114,1,40,I,GENERAL
B10-102,1,75,QL,GENERAL
B10-201,1,40,BR,GENERAL
B10-202,1,48,DB,GENERAL
B10-203,1,70,DB,GENERAL
B10-204,1,40,QT,GENERAL
B10-205,1,40,QT,GENERAL
B10-206,1,50,QT,GENERAL
B10-207,1,48,QT,GENERAL
B10-301,1,64,LECTURE,GENERAL
TNCNTP,1,24,CP,GENERAL
B11-203,1,30,DL,GENERAL
B1-206,1,48,QT,GENERAL
B1-208,1,88,QT,GENERAL
B1-305,1,72,QT,GENERAL
B1-306,1,88,QT,GENERAL
B1-307,1,32,QT,GENERAL
B1-102,1,30,F,GENERAL
B1-201,1,40,QT,GENERAL
B1-202,1,40,QT,GENERAL
B1-203,1,60,QT,GENERAL
B1-301,1,56,QT,GENERAL
B1-302,1,56,QT,GENERAL
B1-303,1,56,QT,GENERAL
B3-203,1,30,XG,GENERAL
B1-209,1,40,SO,GENERAL
B1-210,1,48,QT,GENERAL
B1-211,1,32,QT,GENERAL
B1-212,1,80,QT,GENERAL
B1-213,1,80,QT,GENERAL
B1-214,1,48,QT,GENERAL
B1-215,1,48,QT,GENERAL
B1-308,1,72,QT,GENERAL
B1-309,1,56,QT,GENERAL
B1-310,1,32,QT,GENERAL
B1-311,1,80,QT,GENERAL
B1-313,1,56,QT,GENERAL
B1-314,1,56,QT,GENERAL
B1-315,1,56,QT,GENERAL
B2-107,1,20,S2,GENERAL
B2-201,1,32,QT,GENERAL
B2-202,1,32,QT,GENERAL
B2-305,1,46,J,GENERAL
B2-109,1,60,7,GENERAL
B2-118,1,30,/,GENERAL
B2-117,1,30,LM,GENERAL
B2-406,1,36,VC,GENERAL
B2-108,1,20,HS,GENERAL
B2-205,1,40,XT,GENERAL
B2-119,1,40,DK,GENERAL
B2-214,1,40,L,GENERAL
B2-206,1,40,P,GENERAL
B2-405,1,36,VA,GENERAL
B2-213,1,96,VB,GENERAL
B2-308,1,52,;,GENERAL
B3-112,1,30,V1,GENERAL
B3-202,1,36,D1,GENERAL
B3-111,1,20,V2,GENERAL
B1-103,1,30,N,GENERAL
B3-207,1,35,G,GENERAL
C2-PTTDT,1,30,M,GENERAL
B1-116,1,24,T§,GENERAL
PTNTSL,1,30,TV,GENERAL
C2-PTTDT1,1,30,M,GENERAL
B3-209,1,30,B2,GENERAL
B3-103,1,35,MD,GENERAL
PTHTL,1,26,C,GENERAL
B4-201,1,72,KT,GENERAL
B4-105,1,30,B4,GENERAL
B4-301,1,60,QT,GENERAL
B4-302,1,60,QT,GENERAL
B4-303,1,60,QT,GENERAL
B4-305,1,80,QT,GENERAL
B4-306,1,80,QT,GENERAL
B4-401,1,60,QT,GENERAL
B4-402,1,60,QT,GENERAL
B4-403,1,60,QT,GENERAL
B4-405,1,60,QT,GENERAL
B4-406,1,108,QT,GENERAL
B4-501,1,80,QT,GENERAL
B4-502,1,80,QT,GENERAL
B4-504,1,60,QT,GENERAL
B4-505,1,120,GD,GENERAL
B5-000,1,30,CY,GENERAL
B6-GDB6,1,150,XD,GENERAL
B6-301,1,50,QT,GENERAL
B6-302,1,60,QT,GENERAL
B6-303,1,60,QT,GENERAL
B6-306,1,92,QT,GENERAL
PTNVLX,1,40,R,GENERAL
B6-109,1,40,S,GENERAL
C2-PTN,1,71,A1,GENERAL
B6-201,1,40,LY,GENERAL
CS1-TRD,1,30,D,GENERAL
CS1-TR2,1,30,D,GENERAL
CS1-TR3,1,30,D,GENERAL
CS1-TR4,1,30,D,GENERAL
CS1-TR5,1,30,D,GENERAL
CS1-TRQ,1,20,TV,GENERAL
B7-105,1,30,M1,GENERAL
B7-106,1,100,M1,GENERAL
B8-201,1,60,DC,GENERAL
B8-202,1,30,DC,GENERAL
B8-204,1,100,DC,GENERAL
B8-303,1,70,QT,GENERAL
B8-304,1,70,QT,GENERAL
B8-108,1,50,1,GENERAL
B8-302,1,40,QT,GENERAL
PTNDKT,1,20,G1,GENERAL
B8-101,1,51,\,GENERAL
B9-201,1,60,QT,GENERAL
B9-202,1,54,QT,GENERAL
B9-203,1,50,QT,GENERAL
B9-204,1,40,QT,GENERAL
C1-109B,1,50,BD,GENERAL
B12-SAN1,1,85,T,GENERAL
B12-SAN3,1,85,T,GENERAL
B12-SAN2,1,85,T,GENERAL
B12-SAN5,1,85,T5,GENERAL
B12-SAN7,1,85,T5,GENERAL
B12-SAN8,1,85,T5,GENERAL
C1-101,1,25,2,GENERAL
C1-205,1,30,X2,GENERAL
C5-101,1,40,HK,GENERAL
C1-203,1,30,X2,GENERAL
C1-202,1,30,X2,GENERAL
C2-TTMAY,1,50,=,GENERAL
C3-102,1,40,+,GENERAL
C4-105,1,35,SI,GENERAL
C4-204,1,138,>,GENERAL
C4-301,1,80,QT,GENERAL
C4-302,1,50,QT,GENERAL
C4-303,1,50,QT,GENERAL
C4-304,1,80,QT,GENERAL
C4-401,1,50,QT,GENERAL
C4-402,1,80,QT,GENERAL
C4-403,1,80,QT,GENERAL
C4-404,1,50,QT,GENERAL
C4-501,1,50,QT,GENERAL
C4-502,1,80,QT,GENERAL
C4-503,1,124,GD,GENERAL
C1-XCK,1,25,X,GENERAL
C1-206B,1,30,DT,GENERAL
C1-201X,1,30,KU,GENERAL
C5-106,1,60,VI,GENERAL
C1-105B,1,25,MU,GENERAL
C1-108B,1,25,XH,GENERAL
C1-104B,1,25,LU,GENERAL
C1-102B,1,30,XL,GENERAL
C1-207B,1,30,NU,GENERAL
C1-107B,1,33,UI,GENERAL
C1-204B,1,30,DU,GENERAL
PTNBOT,1,23,KO,GENERAL
C5-302,1,50,QT,GENERAL
C5-303,1,80,QT,GENERAL
C5-304,1,50,QT,GENERAL
C5-401,1,80,QT,GENERAL
C5-402,1,50,QT,GENERAL
C5-403,1,80,QT,GENERAL
C5-502,1,80,QT,GENERAL
C5-503,1,80,QT,GENERAL
C5-504,1,50,QT,GENERAL
C5-501,1,50,QT,GENERAL
C6-106,1,120,LT,GENERAL
C6-301,1,25,PH,GENERAL
C6-302,1,25,PH,GENERAL
C6-303,1,25,PH,GENERAL
C6-304,1,25,PH,GENERAL
C6-305,1,25,PH,GENERAL
C6-306,1,25,PH,GENERAL
C6-307,1,25,PH,GENERAL
C6-309,1,25,PH,GENERAL
C6-308,1,25,PH,GENERAL
C6-204,1,30,PH,GENERAL
C6-501,1,80,QT,GENERAL
C6-502,1,80,QT,GENERAL
C6-401,1,80,QT,GENERAL
C6-402,1,80,QT,GENERAL
C6-403,1,80,QT,GENERAL
C6-601,1,80,QT,GENERAL
C6-602,1,48,QT,GENERAL
C6-503,1,80,QT,GENERAL
C6-603,1,48,QT,GENERAL
C6-604,1,48,QT,GENERAL
TTCHXD,1,50,TX,GENERAL
B1-300,1,30,G2,GENERAL
C5-202,1,40,5,GENERAL
C6-103,1,40,MT,GENERAL
C6-104,1,40,TH,GENERAL
A4-411,1,30,QT,GENERAL
A4-412,1,30,QT,GENERAL
B2-116,1,30,{},GENERAL
C1-102A,1,40,C2,GENERAL
C1-105,1,40,C4,GENERAL
C1-XDU,1,40,C5,GENERAL
C2-103A,1,30,M9,GENERAL
B1-117,1,26,ET,GENERAL
B2-104,1,40,A2,GENERAL
C3-PTNC3,1,60,TT,GENERAL
C3-105,1,30,N2,GENERAL
C1-201B,1,30,X9,GENERAL
C1-201A,1,25,CX,GENERAL
B2-PTNB2C,1,40,P3,GENERAL
B6-SANB6,1,200,T9,GENERAL
B1-104,1,30,DD,GENERAL
C6-203,1,40,NN,GENERAL
C1-104,1,22,CC,GENERAL
C3-PTNMXD,1,30,MX,GENERAL
B6-111A,1,40,VX,GENERAL
A3-CHUYENDEA3,1,30,A3,GENERAL
C2-XUONGC2,1,30,U2,GENERAL
B6-102,1,30,DV,GENERAL
C1-201C,1,35,K2,GENERAL
B2-403,1,25,H,GENERAL
B11-102,1,25,E1,GENERAL
B3-106,1,25,E4,GENERAL
C2-PTTDT2,1,30,MA,GENERAL
C2-103B,1,30,M9,GENERAL
B6-304,1,60,QT,GENERAL
A5-108,1,45,GH,GENERAL
B12-SAN9,1,85,T,GENERAL
B12-SAN10,1,85,T,GENERAL
B6-305,1,60,QT,GENERAL
B9-101,1,27,QT,GENERAL
B5-001,1,30,CZ,GENERAL
B8-301,1,66,QT,GENERAL
F1-2C6-PTNTRONGDIEM,1,40,F1,GENERAL
C3-109.2,1,80,GT,GENERAL
B12-SAN,1,85,T5,GENERAL
B1-112.1,1,30,E5,GENERAL
B6-101,1,40,TL,GENERAL
B2-105A,1,25,MB,GENERAL
B10-302,1,40,V9,GENERAL
B10-306,1,25,DX,GENERAL
HANGOUT_TUONGTAC,1,130,AH,GENERAL
C6-105,1,40,F2,GENERAL
B2-401A,1,36,VC,GENERAL
B2-306,1,20,HC,GENERAL
A5-107,1,50,GH,GENERAL
C4-203,1,30,DZ,GENERAL
C2-PTTDT3,1,30,9M,GENERAL
B6-201A,1,40,LY,GENERAL
C1-107B2,1,30,B8,GENERAL
C3-103,1,15,N7,GENERAL
C3-104,1,30,N8,GENERAL
B3-208,1,30,SC,GENERAL
C5-309,1,40,BI,GENERAL
B2-201A,1,20,B9,GENERAL
DP-CAOTHANG,1,80,CT,GENERAL
C.THANG,1,90,CT,GENERAL
HOBOI LY THUONG KIET,1,100,HB,GENERAL
C3-109.3,1,25,GT,GENERAL
C3-109.4,1,25,GT,GENERAL
C1-106B,1,30,KN,GENERAL
B7-102,1,20,CA,GENERAL
B6-100,1,25,TM,GENERAL
B6-203,1,30,BM,GENERAL
A5-HTA5,1,600,A5,GENERAL
C6-505,1,50,MP,GENERAL
C1-201L,1,20,LG,GENERAL
C6-509,1,36,TH,GENERAL
C6-102,1,40,TH,GENERAL
C1-PTNGAH,1,30,TC,GENERAL
C1-110B,1,25,U3,GENERAL
C5-404,1,50,QT,GENERAL
B1-101,1,22,HI,GENERAL
B2-401,1,20,V6,GENERAL
B2-101,1,18,CH,GENERAL
C6-105D,1,40,LECTURE,GENERAL
C5-HOITRUONG,1,150,GD,GENERAL
CS2-TR2L,2,50,HD,GENERAL
CS2-TR3L,2,50,HD,GENERAL
CS2-TR4L,2,50,HD,GENERAL
CS2-TR5L,2,50,HD,GENERAL
H1-102,2,93,LH,GENERAL
H1-103,2,90,LH,GENERAL
H1-101,2,138,LH,GENERAL
H1-104,2,138,LH,GENERAL
H1-202,2,32,LH,GENERAL
H1-203,2,32,LH,GENERAL
H1-201,2,48,LH,GENERAL
H1-204,2,129,LH,GENERAL
H1-210,2,126,LH,GENERAL
H1-211,2,126,LH,GENERAL
H1-212,2,126,LH,GENERAL
H1-213,2,126,LH,GENERAL
H1-305,2,48,LH,GENERAL
H1-306,2,48,LH,GENERAL
H1-308,2,48,LH,GENERAL
H1-309,2,48,LH,GENERAL
H1-307,2,135,LH,GENERAL
H1-401,2,126,LH,GENERAL
H1-404,2,126,LH,GENERAL
H1-GDH1,2,352,HG,GENERAL
H1-405,2,120,LH,GENERAL
H1-403,2,90,LH,GENERAL
H1-603,2,78,HL,GENERAL
H1-601,2,78,HL,GENERAL
H1-602,2,78,HL,GENERAL
H1-501,2,40,HH,GENERAL
H1-502,2,36,HH,GENERAL
H1-503,2,36,HH,GENERAL
H1-504,2,40,HH,GENERAL
H1-701,2,60,K3,GENERAL
H1-801,2,66,LH,GENERAL
H1-802,2,106,LH,GENERAL
H1-803,2,106,LH,GENERAL
H1-804,2,66,LH,GENERAL
H1-805,2,106,LH,GENERAL
H2-503,2,55,KI,GENERAL
H2-502,2,70,KI,GENERAL
H2-702,2,30,OM,GENERAL
H2-701,2,30,M3,GENERAL
H2-101,2,30,VL,GENERAL
H2-102,2,35,I3,GENERAL
H2-201,2,156,LH,GENERAL
H2-206,2,156,LH,GENERAL
H2-202,2,117,LH,GENERAL
H2-205,2,117,LH,GENERAL
H2-207,2,135,LH,GENERAL
H2-301,2,156,LH,GENERAL
H2-306,2,156,LH,GENERAL
H2-302,2,117,LH,GENERAL
H2-304,2,93,LH,GENERAL
H2-305,2,63,LH,GENERAL
H2-307,2,117,LH,GENERAL
H2-401,2,156,LH,GENERAL
H2-406,2,156,LH,GENERAL
H2-403,2,93,LH,GENERAL
H2-404,2,93,LH,GENERAL
H2-402,2,63,LH,GENERAL
H2-405,2,63,LH,GENERAL
H2-407,2,84,LH,GENERAL
H2-506,2,100,BO,GENERAL
H2-505,2,100,BO,GENERAL
H2-501,2,70,KI,GENERAL
H2-805,2,40,M2,GENERAL
H2-804,2,40,M2,GENERAL
H6-603,2,40,CI,GENERAL
H6-604,2,40,CI,GENERAL
H6-109,2,80,LH,GENERAL
H6-110,2,80,LH,GENERAL
H6-112,2,80,LH,GENERAL
H6-113,2,129,LH,GENERAL
H6-114,2,123,DB,GENERAL
H6-205,2,117,LH,GENERAL
H6-206,2,80,LH,GENERAL
H6-210,2,80,LH,GENERAL
H6-211,2,126,LH,GENERAL
H6-212,2,80,LH,GENERAL
H6-213,2,80,LH,GENERAL
H6-214,2,80,LH,GENERAL
H6-208,2,117,LH,GENERAL
H6-305,2,129,LH,GENERAL
